,userId,movieId,rating
27,0,0,3.0
447,1,1,2.5
961,2,2,5.0
1345,3,3,2.5
1677,4,1,2.5
1788,5,4,2.0
1913,5,2,3.0
1995,5,1,3.0
3115,6,5,2.0
3338,7,0,4.0
3368,8,5,4.0
3561,9,4,2.5
3581,9,5,4.5
3627,9,1,2.5
3804,10,6,2.5
3917,10,3,2.5
4044,10,1,1.5
4589,11,5,5.0
4982,12,1,3.5
5273,13,5,5.0
5396,14,0,5.0
5565,15,0,4.0
6020,16,1,3.0
6803,17,2,4.0
6853,17,1,4.0
7042,18,5,3.5
7146,19,2,4.5
7373,20,4,2.0
7749,21,5,4.0
8394,22,0,2.0
8549,23,0,3.0
8622,24,0,3.0
8938,25,2,3.5
8968,25,1,1.5
9067,26,0,4.0
9088,27,3,1.5
9321,28,7,5.0
9706,29,2,4.0
9840,30,0,3.0
9953,31,4,3.0
9993,31,5,4.5
10132,31,1,1.0
10410,32,4,4.0
10539,33,6,2.5
10565,33,4,1.0
10638,33,1,2.5
11314,34,1,2.0
11851,35,5,3.0
11912,36,0,2.0
11917,36,6,2.0
12228,37,4,3.0
12280,37,3,2.0
12281,37,5,2.0
12397,37,2,3.0
12795,38,2,3.5
13010,39,3,2.5
13021,39,2,4.0
13540,40,1,3.0
14129,41,0,3.0
14434,42,8,4.0
14809,43,0,3.0
14981,44,3,3.0
15150,45,4,4.5
15179,46,0,5.0
15300,46,4,3.0
15416,46,2,3.0
15582,47,4,4.0
15654,47,2,5.0
15800,48,0,4.0
16014,49,4,4.5
16137,49,1,2.5
17294,50,0,1.0
17439,50,9,4.0
17458,50,5,3.0
17651,50,2,2.0
17781,50,1,2.0
18581,51,6,2.0
18699,51,1,3.0
19115,52,2,4.5
19182,52,1,2.5
20646,53,1,2.0
21004,54,1,4.0
21441,55,0,3.0
21468,55,4,4.0
21523,55,1,4.0
21690,56,3,3.0
21832,56,1,1.5
22587,57,10,3.0
22635,58,0,3.0
23506,59,1,2.5
23706,60,6,4.0
24074,61,2,4.5
24220,62,1,3.0
24494,63,0,3.5
24757,64,1,1.5
24823,65,0,3.0
24922,65,4,4.0
25284,66,3,2.5
25941,67,0,3.0
26100,68,2,1.0
26296,69,5,3.0
26349,69,2,3.0
26386,69,1,2.5
26884,70,2,5.0
27451,71,0,2.5
27624,71,1,3.0
28139,72,1,3.0
28362,73,0,3.0
28471,74,5,4.0
28541,74,2,3.5
28963,75,0,3.0
29326,76,5,4.0
29343,76,8,4.0
29482,76,2,4.5
29578,76,1,3.0
30757,77,5,4.5
30833,77,2,2.5
31100,78,2,5.0
31467,79,1,3.0
31859,80,3,4.0
31863,80,5,4.0
31884,80,8,4.0
32451,81,3,2.0
32476,81,1,4.0
32536,82,0,4.0
32725,83,3,0.5
32783,83,2,3.0
32839,83,1,3.0
33247,84,5,3.0
33259,85,0,2.0
33357,86,4,0.5
33946,87,8,4.0
34256,88,5,4.0
34631,89,0,2.0
34711,89,11,2.0
34725,89,4,4.0
34764,89,5,3.0
34861,89,2,3.0
34929,89,1,3.0
35572,90,1,4.0
36342,91,5,3.5
36434,91,2,4.0
37034,92,4,3.0
37331,93,4,4.0
37542,94,2,5.0
38187,95,12,3.0
38296,96,13,4.0
38457,97,2,4.0
39775,98,0,3.0
40044,99,4,3.5
40132,100,7,3.5
41423,101,1,3.0
41789,102,4,4.0
42482,103,1,2.0
43099,104,4,3.0
43351,105,4,3.0
43370,105,5,3.0
43378,105,8,2.0
43769,106,1,1.5
44246,107,1,2.5
45415,108,2,4.0
46319,109,5,5.0
46418,109,2,3.0
46491,109,1,2.5
47074,110,6,3.0
47111,110,3,3.0
47165,111,6,4.5
48108,112,0,3.5
48244,113,2,3.0
48264,113,1,2.0
48707,114,0,2.0
49263,115,0,3.0
49546,116,8,4.0
49630,116,2,4.0
50325,117,11,2.0
50350,117,4,3.0
50425,117,3,3.0
50431,117,5,4.0
50522,117,2,5.0
50670,117,1,5.0
51140,118,0,3.0
51386,119,1,2.5
52394,120,1,2.0
52805,121,5,4.0
52826,121,8,4.0
53249,122,0,3.5
53803,123,5,4.0
53813,123,2,5.0
53876,124,0,1.0
53884,124,6,4.0
54854,125,5,5.0
55074,126,1,3.0
55608,127,5,3.0
55978,128,1,2.0
56244,129,3,2.0
56543,130,4,2.0
56607,131,5,5.0
56734,132,1,2.5
57340,133,2,5.0
57504,134,0,2.5
57583,135,8,5.0
57779,136,4,1.0
57840,136,5,4.0
58008,136,2,4.0
58132,136,1,2.0
58619,137,4,4.0
59242,138,14,3.0
59563,139,4,4.0
59583,139,5,4.0
59613,139,8,4.0
59762,140,5,4.0
60519,141,4,3.0
60556,141,2,5.0
60659,142,1,3.5
60719,143,0,3.0
61144,144,4,4.0
61299,145,4,3.0
61831,146,2,4.0
61986,147,1,3.0
62159,148,6,3.0
62745,149,0,4.0
63216,150,2,4.0
63470,151,11,3.0
63637,151,2,4.0
64608,152,0,5.0
64673,153,5,2.0
64703,154,6,3.0
65533,155,1,2.5
65600,156,1,1.5
65722,157,5,5.0
65908,158,2,4.0
66261,159,6,4.0
66390,160,0,3.0
67036,161,7,4.0
67246,162,2,3.0
67271,162,1,1.0
67477,163,0,2.5
67497,163,5,4.5
67804,164,1,4.0
68327,165,1,3.0
68999,166,3,4.0
69090,167,5,4.5
69153,167,1,4.0
69311,168,0,3.5
69333,168,6,3.0
69469,168,4,4.0
69550,168,3,3.0
69748,168,2,4.0
69922,168,1,3.5
72121,169,0,4.0
72175,170,1,2.5
72482,171,0,4.0
73440,172,0,3.0
73515,173,0,3.0
73907,174,2,4.0
74275,175,5,3.0
74326,175,2,2.0
74352,175,1,2.0
74981,176,8,4.0
75253,177,2,3.0
75294,177,1,3.0
75524,178,2,4.0
75764,179,1,3.0
77207,180,0,3.0
77243,180,4,4.5
77269,180,3,2.0
77351,180,1,2.0
77571,181,5,3.5
77972,182,5,4.0
78071,182,2,4.0
78155,182,1,3.0
78394,183,4,2.0
78508,184,13,3.0
78585,184,1,3.0
79161,185,0,2.0
79166,185,4,0.5
79376,186,2,4.0
79418,186,1,3.0
79776,187,8,4.0
80826,188,4,5.0
80901,189,2,1.0
81265,190,2,4.0
82100,191,4,3.5
82139,191,5,3.5
82277,191,1,2.5
83581,192,5,2.5
83867,193,2,3.0
84041,194,5,4.0
84145,195,0,3.0
84227,196,0,3.5
84647,197,0,4.0
84736,197,4,3.0
85111,198,4,3.0
85677,199,5,3.5
85726,199,1,1.5
86061,200,2,4.5
86338,201,1,4.0
86439,202,4,4.0
86917,203,0,3.0
87060,204,0,2.0
87416,205,1,3.5
87848,206,6,5.0
87887,206,3,3.0
89286,207,5,4.0
89349,208,2,4.0
89503,209,5,3.0
89612,210,0,3.0
90167,211,5,4.0
90579,212,5,4.0
92054,213,4,1.0
92117,214,0,2.0
92315,215,1,2.0
93192,216,1,2.5
93748,217,0,2.5
93791,217,4,4.0
93914,217,2,3.5
93977,217,1,3.0
94648,218,3,2.0
95252,219,8,4.0
96159,220,0,3.0
96326,220,5,3.0
96550,220,1,1.5
97280,221,0,2.0
97720,222,6,4.5
97873,222,2,4.0
97919,222,1,3.0
98314,223,0,3.0
98453,224,1,3.0
98500,225,0,3.0
98684,226,0,5.0
98928,227,1,4.0
99508,228,4,3.0
99552,228,3,4.0
99656,228,2,4.0
99728,229,1,3.0
99769,230,6,2.0
100269,231,1,3.0
100331,232,2,2.5
100345,233,0,2.0
100501,234,5,2.5
100693,235,1,2.0
100776,236,5,3.5
101306,237,3,3.0
101372,238,4,3.5
101639,239,0,1.0
101705,239,4,2.5
101855,239,1,2.0
102529,240,0,0.5
102597,240,5,0.5
102645,240,2,3.0
102692,240,1,0.5
103271,241,0,1.0
103402,241,4,2.0
103488,242,3,3.0
103490,243,4,4.0
103631,244,1,4.0
103767,245,3,3.0
104225,246,0,4.0
104445,247,2,4.0
104566,248,1,2.5
105007,249,5,4.0
105394,250,4,3.0
105628,251,1,4.0
105898,252,4,0.5
106217,253,1,2.5
106381,254,2,5.0
106431,254,1,3.0
106633,255,4,3.0
106680,256,0,2.0
106835,256,1,0.5
107203,257,10,1.0
108537,258,8,5.0
109497,259,1,2.5
110034,260,0,0.5
110234,261,0,4.0
110376,262,2,4.0
110406,262,1,3.5
110669,263,5,2.5
111427,264,2,2.0
111491,265,0,4.0
111906,266,4,4.5
111934,266,5,4.0
112934,267,5,5.0
113181,268,5,2.0
113815,269,4,3.0
113862,269,2,3.0
113996,270,6,3.0
114915,271,5,3.0
114946,271,8,3.0
115103,271,2,3.0
115211,271,1,3.0
115766,272,0,4.0
115869,273,4,3.0
116026,274,4,4.5
116153,275,5,3.0
117241,276,6,3.0
117266,277,0,2.0
117391,277,2,3.0
118248,278,4,4.0
118344,278,1,3.0
118868,279,0,3.0
118955,279,5,4.0
119870,280,1,2.0
119942,281,4,4.5
120042,282,5,4.5
120842,283,0,3.0
120954,284,0,5.0
121199,285,1,3.0
122427,286,2,5.0
122633,287,5,4.0
122749,287,2,1.0
122925,288,0,3.0
123122,288,1,3.0
124069,289,1,2.0
124328,290,1,4.0
124424,291,5,4.0
124515,291,1,3.0
124808,292,5,4.0
124912,292,1,3.5
125931,293,1,4.0
127280,294,13,1.0
127470,295,0,3.0
128323,296,5,4.0
128384,296,2,5.0
128970,297,0,3.0
129102,298,0,3.0
129808,299,1,3.5
130029,300,2,3.5
130074,300,1,3.5
131117,301,2,2.5
131582,302,0,3.0
131657,302,1,4.0
131848,303,0,3.5
